D,-1,-1~0,0~1,1~
0.957687,0,0,1,0
2.392325,0,0,0,1
-1.191590,1,0,0,0
-0.988816,0,1,0,0
1.409051,0,0,0,1
1.490461,0,0,0,1
0.905346,0,0,1,0
0.699403,0,0,1,0
2.817947,0,0,0,1
-0.833642,0,1,0,0
-0.858101,0,1,0,0
0.671016,0,0,1,0
0.700183,0,0,1,0
1.398063,0,0,0,1
0.717579,0,0,1,0
-2.561243,1,0,0,0
0.086781,0,0,1,0
2.862116,0,0,0,1
-1.517044,1,0,0,0
-0.351800,0,1,0,0
-2.081615,1,0,0,0
1.276628,0,0,0,1
2.879051,0,0,0,1
-0.936617,0,1,0,0
0.391805,0,0,1,0
2.275116,0,0,0,1
0.222333,0,0,1,0
0.472945,0,0,1,0
0.616635,0,0,1,0
-1.895409,1,0,0,0
3.773270,0,0,0,1
-0.930583,0,1,0,0
-1.795447,1,0,0,0
1.936312,0,0,0,1
-1.035348,1,0,0,0
0.496561,0,0,1,0
-1.180215,1,0,0,0
2.094537,0,0,0,1
-0.311454,0,1,0,0
0.843630,0,0,1,0
-1.387744,1,0,0,0
0.679191,0,0,1,0
2.429128,0,0,0,1
-2.261175,1,0,0,0
-1.270658,1,0,0,0
2.713626,0,0,0,1
0.406766,0,0,1,0
0.395560,0,0,1,0
0.267417,0,0,1,0
2.129673,0,0,0,1
0.300115,0,0,1,0
2.636513,0,0,0,1
0.532658,0,0,1,0
-0.277270,0,1,0,0
-0.610236,0,1,0,0
1.156325,0,0,0,1
1.451878,0,0,0,1
-2.709352,1,0,0,0
2.026087,0,0,0,1
1.343093,0,0,0,1
-2.351752,1,0,0,0
1.685206,0,0,0,1
-0.596502,0,1,0,0
0.177763,0,0,1,0
-1.263268,1,0,0,0
0.502192,0,0,1,0
-2.120443,1,0,0,0
-1.084381,1,0,0,0
2.988900,0,0,0,1
2.203005,0,0,0,1
1.575836,0,0,0,1
2.796948,0,0,0,1
-0.001821,0,1,0,0
0.726029,0,0,1,0
1.964387,0,0,0,1
-0.472505,0,1,0,0
-1.553410,1,0,0,0
-0.408415,0,1,0,0
1.221117,0,0,0,1
-1.216623,1,0,0,0
0.729271,0,0,1,0
1.891563,0,0,0,1
-0.285368,0,1,0,0
2.319421,0,0,0,1
0.596817,0,0,1,0
-0.301235,0,1,0,0
-0.167598,0,1,0,0
-0.443773,0,1,0,0
-0.763149,0,1,0,0
3.550451,0,0,0,1
0.743642,0,0,1,0
-0.659471,0,1,0,0
2.931756,0,0,0,1
1.195752,0,0,0,1
-0.160937,0,1,0,0
2.287578,0,0,0,1
-0.389440,0,1,0,0
0.670867,0,0,1,0
1.471051,0,0,0,1
0.131568,0,0,1,0
1.600936,0,0,0,1
-7.315929,1,0,0,0
0.886978,0,0,1,0
-3.215065,1,0,0,0
1.197301,0,0,0,1
0.101170,0,0,1,0
-5.147327,1,0,0,0
1.365144,0,0,0,1
-3.722228,1,0,0,0
2.050544,0,0,0,1
-3.834039,1,0,0,0
-0.851723,0,1,0,0
-0.205279,0,1,0,0
4.944037,0,0,0,1
-1.454619,1,0,0,0
-0.212499,0,1,0,0
-6.350516,1,0,0,0
1.937584,0,0,0,1
2.732038,0,0,0,1
-0.198263,0,1,0,0
1.829279,0,0,0,1
-1.741305,1,0,0,0
1.656218,0,0,0,1
-1.264913,1,0,0,0
-0.715318,0,1,0,0
-1.043462,1,0,0,0
2.957299,0,0,0,1
3.509810,0,0,0,1
1.280804,0,0,0,1
1.777587,0,0,0,1
-0.306273,0,1,0,0
-0.260608,0,1,0,0
2.076050,0,0,0,1
-1.402029,1,0,0,0
2.576737,0,0,0,1
-0.389008,0,1,0,0
0.388306,0,0,1,0
0.232646,0,0,1,0
0.640208,0,0,1,0
0.109047,0,0,1,0
1.323705,0,0,0,1
-1.476111,1,0,0,0
0.466966,0,0,1,0
0.821868,0,0,1,0
-0.319582,0,1,0,0
-1.142810,1,0,0,0
-2.972954,1,0,0,0
-3.318126,1,0,0,0
1.527622,0,0,0,1
-1.452795,1,0,0,0
2.468842,0,0,0,1
3.287150,0,0,0,1
-1.438669,1,0,0,0
1.003080,0,0,0,1
-4.000533,1,0,0,0
-1.586849,1,0,0,0
0.070786,0,0,1,0
-0.703338,0,1,0,0
2.570895,0,0,0,1
1.320835,0,0,0,1
-2.115419,1,0,0,0
-0.747695,0,1,0,0
0.791345,0,0,1,0
-2.629354,1,0,0,0
0.208640,0,0,1,0
-0.440694,0,1,0,0
2.210072,0,0,0,1
-0.177661,0,1,0,0
-0.688679,0,1,0,0
-1.505720,1,0,0,0
